disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
1422,,,,,1238463.33,736982.53,240606.03,2023-11-01T00:00:00.000Z,,831698,5199bff6998b23ee0c8cee7897d042e309abf67d,2023-11-01T04:03:22.859Z,2697f13b-09f2-49ee-ad74-bd193281f13e
1423,,,,,3266024.79,337529.94,2783374.44,2023-11-01T00:00:00.000Z,,316082,c790fe6ae34d0cd073e20953795cfa5763765eab,2023-11-01T04:03:22.859Z,cbe61437-037d-4f9f-ade8-9462e40945d7
1424,,,,,1428869.09,98133.91,1289354.48,2023-11-01T00:00:00.000Z,,218396,8e8b4f212c78d03e2003dfe2e5c72a7c9308141e,2023-11-01T04:03:22.859Z,471dbb2c-6c69-416c-9da1-c113078738b9
1425,,,,,27960004.15,3632120.14,23910060.19,2023-11-01T00:00:00.000Z,,10058379,1dd52209fedecafcfc3d7382d478a063e0baa99e,2023-11-01T04:03:22.859Z,99908b13-0e34-4573-91e6-48d6c26abdbc
1426,,,,,12698713.54,5084794.82,6625816.2,2023-11-01T00:00:00.000Z,,7923456,2b7c693f3162be44b84474ce44a5dc73e23b6af3,2023-11-01T04:03:22.859Z,21edbd15-6dd3-4d88-b0a9-2be6ccfeb1b6
1427,,,,,2193357.34,245479.87,1899767.97,2023-11-01T00:00:00.000Z,,1810224,8f5f58d29dd87d7c5cae695590427e740e80d95c,2023-11-01T04:03:22.859Z,6ed0e7f3-91c1-40d6-b98a-b5d777f1ded0
1428,,,,,1788583.65,44429.26,1744454.58,2023-11-01T00:00:00.000Z,,237017,b94268c679c732f9d1e74697874d6a599974b482,2023-11-01T04:03:22.859Z,e5eae04f-5593-49a0-a24d-e96be1c829e9
1429,,,,,3547202.78,394971.87,3138024.77,2023-11-01T00:00:00.000Z,,513181,c23f7c95cc0e668a5d49702947fdf58b9cdf69a5,2023-11-01T04:03:22.859Z,4e90789f-94bc-442a-8e1f-958138b65276
1430,,,,,734518.39,202508.57,295399.76,2023-11-01T00:00:00.000Z,,105972,f79e40ee8a233aca8446851dcee905731049d502,2023-11-01T04:03:22.859Z,0ca81794-2746-4a9d-b761-620a5ed2b844
1431,,,,,1143690.22,71012.95,965171.71,2023-11-01T00:00:00.000Z,,157886,049612e69daefe999ba8db7aa3d5e0cc47fcda59,2023-11-01T04:03:22.859Z,42971995-82ff-44f2-b77a-0bd2d7762553
